Plataforma,Ventas_norteamerica,Calificacion_critica
GBA,100000.0,66.0
GBA,100000.0,69.0
GBA,100000.0,66.0
GBA,100000.0,80.0
GBA,90000.0,55.0
GBA,90000.0,62.0
GBA,90000.0,78.0
GBA,90000.0,63.0
GBA,90000.0,68.0
GBA,90000.0,72.0
GBA,90000.0,75.0
GBA,90000.0,53.0
GBA,90000.0,63.0
GBA,90000.0,87.0
GBA,80000.0,72.0
GBA,80000.0,77.0
GBA,80000.0,76.0
GBA,80000.0,62.0
GBA,80000.0,49.0
GBA,80000.0,76.0
GBA,80000.0,54.0
GBA,80000.0,63.0
GBA,80000.0,52.0
GBA,80000.0,70.0
GBA,80000.0,50.0
GBA,80000.0,73.0
GBA,80000.0,56.0
GBA,80000.0,77.0
GBA,80000.0,62.0
GBA,70000.0,68.0
GBA,70000.0,78.0
GBA,70000.0,76.0
GBA,70000.0,58.0
GBA,70000.0,33.0
GBA,70000.0,60.0
GBA,70000.0,77.0
GBA,70000.0,86.0
GBA,70000.0,63.0
GBA,70000.0,51.0
GBA,70000.0,75.0
GBA,60000.0,85.0
GBA,60000.0,83.0
GBA,60000.0,55.0
GBA,60000.0,78.0
GBA,60000.0,69.0
GBA,60000.0,64.0
GBA,60000.0,80.0
GBA,60000.0,77.0
GBA,60000.0,74.0
GBA,60000.0,79.0
GBA,60000.0,78.0
GBA,60000.0,75.0
GBA,60000.0,61.0
GBA,60000.0,80.0
GBA,60000.0,76.0
GBA,50000.0,74.0
GBA,50000.0,46.0
GBA,50000.0,78.0
GBA,50000.0,75.0
GBA,50000.0,66.0
GBA,50000.0,42.0
GBA,50000.0,75.0
GBA,50000.0,24.0
GBA,50000.0,63.0
GBA,50000.0,55.0
GBA,50000.0,83.0
GBA,50000.0,55.0
GBA,50000.0,66.0
GBA,50000.0,66.0
GBA,50000.0,63.0
GBA,50000.0,61.0
GBA,50000.0,79.0
GBA,50000.0,68.0
GBA,40000.0,68.0
GBA,40000.0,65.0
GBA,40000.0,55.0
GBA,40000.0,67.0
GBA,40000.0,44.0
GBA,40000.0,80.0
GBA,40000.0,83.0
GBA,40000.0,71.0
GBA,40000.0,50.0
GBA,40000.0,67.0
GBA,40000.0,53.0
GBA,40000.0,37.0
GBA,40000.0,75.0
GBA,40000.0,78.0
GBA,40000.0,70.0
GBA,40000.0,76.0
GBA,40000.0,76.0
GBA,40000.0,81.0
GBA,40000.0,68.0
GBA,40000.0,82.0
GBA,40000.0,84.0
GBA,40000.0,70.0
GBA,40000.0,75.0
GBA,40000.0,73.0
GBA,30000.0,40.0
GBA,30000.0,52.0
GBA,30000.0,77.0
GBA,30000.0,71.0
GBA,30000.0,61.0
GBA,30000.0,56.0
GBA,30000.0,80.0
GBA,30000.0,69.0
GBA,30000.0,57.0
GBA,30000.0,58.0
GBA,30000.0,82.0
GBA,30000.0,75.0
GBA,30000.0,79.0
GBA,30000.0,78.0
GBA,30000.0,65.0
GBA,30000.0,43.0
GBA,30000.0,65.0
GBA,30000.0,60.0
GBA,30000.0,76.0
GBA,30000.0,68.0
GBA,30000.0,61.0
GBA,30000.0,47.0
GBA,30000.0,44.0
GBA,30000.0,42.0
GBA,30000.0,77.0
GBA,30000.0,75.0
GBA,30000.0,38.0
GBA,30000.0,58.0
GBA,30000.0,69.0
GBA,30000.0,54.0
GBA,30000.0,63.0
GBA,30000.0,65.0
GBA,30000.0,70.0
GBA,30000.0,54.0
GBA,20000.0,70.0
GBA,20000.0,60.0
GBA,20000.0,75.0
GBA,20000.0,68.0
GBA,20000.0,71.0
GBA,20000.0,57.0
GBA,20000.0,45.0
GBA,20000.0,35.0
GBA,20000.0,78.0
GBA,20000.0,70.0
GBA,20000.0,46.0
GBA,20000.0,62.0
GBA,20000.0,35.0
GBA,20000.0,59.0
GBA,20000.0,48.0
GBA,20000.0,54.0
GBA,20000.0,70.0
GBA,20000.0,44.0
GBA,20000.0,57.0
GBA,20000.0,68.0
GBA,20000.0,78.0
GBA,20000.0,78.0
GBA,20000.0,74.0
GBA,20000.0,76.0
GBA,20000.0,68.0
GBA,20000.0,72.0
GBA,20000.0,62.0
GBA,20000.0,73.0
GBA,20000.0,51.0
GBA,20000.0,58.0
GBA,20000.0,80.0
GBA,20000.0,71.0
GBA,20000.0,47.0
GBA,20000.0,73.0
GBA,20000.0,62.0
GBA,20000.0,77.0
GBA,10000.0,67.0
GBA,10000.0,62.0
GBA,10000.0,69.0
GBA,10000.0,77.0
GBA,10000.0,70.0
GBA,10000.0,72.0
GBA,10000.0,52.0
GBA,10000.0,58.0
GBA,10000.0,55.0
GBA,10000.0,73.0
GBA,10000.0,66.0
GBA,10000.0,59.0
GBA,10000.0,40.0
GBA,10000.0,68.0
GBA,10000.0,67.0
GBA,10000.0,75.0
GBA,10000.0,79.0
GBA,10000.0,56.0
GBA,10000.0,65.0
GBA,10000.0,23.0
GBA,10000.0,52.0
GBA,10000.0,41.0
GBA,10000.0,76.0
GBA,10000.0,86.0
GBA,10000.0,78.0
GBA,10000.0,81.0
GBA,10000.0,46.0
GBA,10000.0,72.0
GBA,10000.0,81.0
GBA,10000.0,67.0
